model,n_layers,n_switches,total_compute,total_prefetch,total_switch,total_stall,no_prefetch_cycles,with_prefetch_cycles,overhead_hidden_pct,layers_full_hide,layers_partial_hide,speedup
bert_dense,73,0,3244513,140192.0,0.0,0.0,3384705.0,3244513.0,100.0,72,0,1.043208950002666
bert_pruned50,73,0,2961118,160170.91875,0.0,0.0,3121288.91875,2961118.0,100.0,72,0,1.0540913664197105
bert_pruned70,73,0,2887718,157232.56770833334,0.0,0.0,3044950.5677083335,2887718.0,100.0,72,0,1.054448726540588
bert_pruned90,73,0,2763973,89639.0,0.0,0.0,2853612.0,2763973.0,100.0,72,0,1.032431214053104
gcn_synthetic,8,2,474296,10250.0,20.0,0.0,484566.0,474296.0,100.0,7,0,1.021653144871557
mixed_pipeline,8,5,917492,11582.0,50.0,0.0,929124.0,917492.0,100.0,7,0,1.0126780396995287
resnet50_dense,54,2,3144498,120512.93650793647,20.0,0.0,3265030.9365079366,3144498.0,100.0,53,0,1.038331376425724
resnet50_pruned50,54,0,3126635,100385.17410714286,0.0,0.0,3227020.1741071427,3126635.0,100.0,53,0,1.032106457615661
resnet50_pruned70,54,2,2879532,90698.0,20.0,0.0,2970250.0,2879532.0,100.0,53,0,1.0315044250246221
resnet50_pruned90,54,0,1967605,74277.2187499997,0.0,0.0,2041882.2187499998,1967605.0,100.0,53,0,1.0377500660701715
variable_random,20,2,267047,12914.0,20.0,995.0,279981.0,268042.0,92.30709757229009,17,2,1.0445415270741152
