input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape,attention_sparsity
0,encoder.layer.0.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.4989980061848958,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.0.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.4995303683810764,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.0.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.5005221896701388,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.0.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.4985165066189236,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.0.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,0.5004085964626737,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.0.output.dense,Linear,MM,32,3072,768,0.0,0.0,0.5002437167697482,"(1, 32, 3072)","(1, 32, 768)",0.0
0,encoder.layer.1.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.5011189778645834,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.1.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.5000847710503472,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.1.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.4983622233072917,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.1.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.5004119873046875,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.1.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,0.4999283684624566,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.1.output.dense,Linear,MM,32,3072,768,0.0,0.0,0.49990208943684894,"(1, 32, 3072)","(1, 32, 768)",0.0
0,encoder.layer.2.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.4996473524305556,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.2.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.5003679063585069,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.2.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.4992302788628472,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.2.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.4994574652777778,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.2.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,0.49991141425238717,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.2.output.dense,Linear,MM,32,3072,768,0.0,0.0,0.5005421108669705,"(1, 32, 3072)","(1, 32, 768)",0.0
0,encoder.layer.3.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.5006595187717013,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.3.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.5006001790364584,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.3.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.4995676676432292,"(1, 32, 768)","(1, 32, 768)",0.0
