input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape,model_name
0,stress_layer_0,Linear,MM,256,512,128,0.0803,0.0791,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_1,Linear,MM,256,512,128,0.0119,0.096,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_2,Linear,MM,256,512,128,0.0091,0.0498,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_3,Linear,MM,256,512,128,0.0427,0.0832,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_4,Linear,MM,256,512,128,0.0628,0.1046,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_5,Linear,MM,256,512,128,0.658,0.3264,0.75,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_6,Linear,MM,256,512,128,0.0343,0.0302,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_7,Linear,MM,256,512,128,0.0707,0.005,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_8,Linear,MM,256,512,128,0.0909,0.0608,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_9,Linear,MM,256,512,128,0.076,0.0711,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_10,Linear,MM,256,512,128,0.0287,0.1127,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_11,Linear,MM,256,512,128,0.5194,0.3825,0.75,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_12,Linear,MM,256,512,128,0.0282,0.0585,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_13,Linear,MM,256,512,128,0.0871,0.0122,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_14,Linear,MM,256,512,128,0.0558,0.0821,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_15,Linear,MM,256,512,128,0.0332,0.146,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_16,Linear,MM,256,512,128,0.0286,0.0762,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_17,Linear,MM,256,512,128,0.5296,0.3393,0.75,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_18,Linear,MM,256,512,128,0.0841,0.0006,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_19,Linear,MM,256,512,128,0.0783,0.125,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_20,Linear,MM,256,512,128,0.0938,0.1459,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_21,Linear,MM,256,512,128,0.0833,0.0099,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_22,Linear,MM,256,512,128,0.0404,0.0562,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_23,Linear,MM,256,512,128,0.6015,0.4956,0.75,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_24,Linear,MM,256,512,128,0.0819,0.0281,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_25,Linear,MM,256,512,128,0.0698,0.1024,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_26,Linear,MM,256,512,128,0.0999,0.0724,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_27,Linear,MM,256,512,128,0.0731,0.1193,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_28,Linear,MM,256,512,128,0.0261,0.0242,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_29,Linear,MM,256,512,128,0.6397,0.4799,0.75,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_30,Linear,MM,256,512,128,0.0915,0.0469,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_31,Linear,MM,256,512,128,0.0954,0.1086,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_32,Linear,MM,256,512,128,0.0021,0.1088,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_33,Linear,MM,256,512,128,0.0582,0.1432,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_34,Linear,MM,256,512,128,0.0742,0.0296,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_35,Linear,MM,256,512,128,0.6898,0.4717,0.75,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_36,Linear,MM,256,512,128,0.0449,0.1235,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_37,Linear,MM,256,512,128,0.0997,0.0846,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_38,Linear,MM,256,512,128,0.0589,0.0636,0.0,"(1, 512)","(1, 128)",dp_stress
0,stress_layer_39,Linear,MM,256,512,128,0.0895,0.0667,0.0,"(1, 512)","(1, 128)",dp_stress
1,stress_layer_0,Linear,MM,256,512,128,0.0577,0.099,0.0,"(1, 512)","(1, 128)",dp_stress
1,stress_layer_1,Linear,MM,256,512,128,0.0302,0.0034,0.0,"(1, 512)","(1, 128)",dp_stress
1,stress_layer_2,Linear,MM,256,512,128,0.0838,0.0479,0.0,"(1, 512)","(1, 128)",dp_stress
