input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape,model_name
0,gcn.aggregate_1,Linear,MM,2048,2048,128,0.9045,0.0286,0.0057,"(1, 2048)","(1, 128)",gcn_synthetic
0,gcn.transform_1,Linear,MM,2048,128,256,0.1439,0.4269,-0.0301,"(1, 128)","(1, 256)",gcn_synthetic
0,gcn.aggregate_2,Linear,MM,2048,2048,256,0.9471,0.0685,-0.0485,"(1, 2048)","(1, 256)",gcn_synthetic
0,gcn.transform_2,Linear,MM,2048,256,128,0.403,0.5187,0.2914,"(1, 256)","(1, 128)",gcn_synthetic
0,gcn.aggregate_3,Linear,MM,2048,2048,128,0.9395,0.006,0.0298,"(1, 2048)","(1, 128)",gcn_synthetic
0,gcn.transform_3,Linear,MM,2048,128,64,0.0365,0.3526,0.4872,"(1, 128)","(1, 64)",gcn_synthetic
0,gcn.aggregate_4,Linear,MM,2048,2048,64,0.8797,0.0532,0.0201,"(1, 2048)","(1, 64)",gcn_synthetic
0,gcn.output,Linear,MM,2048,64,7,0.5173,0.0611,0.7077,"(1, 64)","(1, 7)",gcn_synthetic
1,gcn.aggregate_1,Linear,MM,2048,2048,128,0.9084,0.0323,-0.0251,"(1, 2048)","(1, 128)",gcn_synthetic
1,gcn.transform_1,Linear,MM,2048,128,256,0.0587,0.4893,-0.0128,"(1, 128)","(1, 256)",gcn_synthetic
1,gcn.aggregate_2,Linear,MM,2048,2048,256,0.8138,0.0434,-0.0051,"(1, 2048)","(1, 256)",gcn_synthetic
1,gcn.transform_2,Linear,MM,2048,256,128,0.4277,0.3937,0.244,"(1, 256)","(1, 128)",gcn_synthetic
1,gcn.aggregate_3,Linear,MM,2048,2048,128,0.9384,0.0893,0.0001,"(1, 2048)","(1, 128)",gcn_synthetic
1,gcn.transform_3,Linear,MM,2048,128,64,0.1248,0.3347,0.5138,"(1, 128)","(1, 64)",gcn_synthetic
1,gcn.aggregate_4,Linear,MM,2048,2048,64,0.8476,0.0415,-0.0078,"(1, 2048)","(1, 64)",gcn_synthetic
1,gcn.output,Linear,MM,2048,64,7,0.4449,0.0986,0.7115,"(1, 64)","(1, 7)",gcn_synthetic
2,gcn.aggregate_1,Linear,MM,2048,2048,128,0.8779,0.0613,0.0196,"(1, 2048)","(1, 128)",gcn_synthetic
2,gcn.transform_1,Linear,MM,2048,128,256,0.0686,0.3912,0.0448,"(1, 128)","(1, 256)",gcn_synthetic
2,gcn.aggregate_2,Linear,MM,2048,2048,256,0.8626,0.0681,0.0006,"(1, 2048)","(1, 256)",gcn_synthetic
2,gcn.transform_2,Linear,MM,2048,256,128,0.5008,0.4758,0.3214,"(1, 256)","(1, 128)",gcn_synthetic
