input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape
0,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.0,"(1, 3, 224, 224)","(1, 64, 112, 112)"
0,layer1.0.conv1,Conv2d,MM,3136,64,64,0.0025809151785714285,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.0.conv2,Conv2d,MM,3136,576,64,0.5186393893494898,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5158840880102041,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.0025809151785714285,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.1.conv1,Conv2d,MM,3136,256,64,0.5344026526626275,0.0,0.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
0,layer1.1.conv2,Conv2d,MM,3136,576,64,0.4865623007015306,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.1.conv3,Conv2d,MM,3136,64,256,0.43143136160714285,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.2.conv1,Conv2d,MM,3136,256,64,0.38734529456313777,0.0,0.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
0,layer1.2.conv2,Conv2d,MM,3136,576,64,0.5122967155612245,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.2.conv3,Conv2d,MM,3136,64,256,0.44167032047193877,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer2.0.conv1,Conv2d,MM,3136,256,128,0.33205865353954084,0.0,0.0,"(1, 256, 56, 56)","(1, 128, 56, 56)"
0,layer2.0.conv2,Conv2d,MM,784,1152,128,0.5349569515306123,0.0,0.0,"(1, 128, 56, 56)","(1, 128, 28, 28)"
0,layer2.0.conv3,Conv2d,MM,784,128,512,0.4399314413265306,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
0,layer2.0.downsample.0,Conv2d,MM,784,256,512,0.33205865353954084,0.0,0.0,"(1, 256, 56, 56)","(1, 512, 28, 28)"
0,layer2.1.conv1,Conv2d,MM,784,512,128,0.503669583067602,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
0,layer2.1.conv2,Conv2d,MM,784,1152,128,0.49513711734693877,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
0,layer2.1.conv3,Conv2d,MM,784,128,512,0.5118183992346939,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
0,layer2.2.conv1,Conv2d,MM,784,512,128,0.407535475127551,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
0,layer2.2.conv2,Conv2d,MM,784,1152,128,0.5022620376275511,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
0,layer2.2.conv3,Conv2d,MM,784,128,512,0.47622369260204084,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
0,layer2.3.conv1,Conv2d,MM,784,512,128,0.3675537109375,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
0,layer2.3.conv2,Conv2d,MM,784,1152,128,0.5172891422193877,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
0,layer2.3.conv3,Conv2d,MM,784,128,512,0.4974390146683674,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
0,layer3.0.conv1,Conv2d,MM,784,512,256,0.3541284677933674,0.0,0.0,"(1, 512, 28, 28)","(1, 256, 28, 28)"
0,layer3.0.conv2,Conv2d,MM,196,2304,256,0.48557079081632654,0.0,0.0,"(1, 256, 28, 28)","(1, 256, 14, 14)"
0,layer3.0.conv3,Conv2d,MM,196,256,1024,0.4719188456632653,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.0.downsample.0,Conv2d,MM,196,512,1024,0.3541284677933674,0.0,0.0,"(1, 512, 28, 28)","(1, 1024, 14, 14)"
0,layer3.1.conv1,Conv2d,MM,196,1024,256,0.499267578125,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.1.conv2,Conv2d,MM,196,2304,256,0.5074139030612245,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.1.conv3,Conv2d,MM,196,256,1024,0.4727758290816326,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.2.conv1,Conv2d,MM,196,1024,256,0.38163165656887754,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.2.conv2,Conv2d,MM,196,2304,256,0.5463568239795918,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.2.conv3,Conv2d,MM,196,256,1024,0.5170599489795918,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.3.conv1,Conv2d,MM,196,1024,256,0.34324178890306123,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.3.conv2,Conv2d,MM,196,2304,256,0.5258490114795918,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.3.conv3,Conv2d,MM,196,256,1024,0.498226243622449,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.4.conv1,Conv2d,MM,196,1024,256,0.35134327168367346,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.4.conv2,Conv2d,MM,196,2304,256,0.5407565369897959,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.4.conv3,Conv2d,MM,196,256,1024,0.4734733737244898,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.5.conv1,Conv2d,MM,196,1024,256,0.3069644850127551,0.0,0.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.5.conv2,Conv2d,MM,196,2304,256,0.5266063456632653,0.0,0.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.5.conv3,Conv2d,MM,196,256,1024,0.5187938456632653,0.0,0.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer4.0.conv1,Conv2d,MM,196,1024,512,0.3525540098852041,0.0,0.0,"(1, 1024, 14, 14)","(1, 512, 14, 14)"
0,layer4.0.conv2,Conv2d,MM,49,4608,512,0.49807676977040816,0.0,0.0,"(1, 512, 14, 14)","(1, 512, 7, 7)"
0,layer4.0.conv3,Conv2d,MM,49,512,2048,0.48341836734693877,0.0,0.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
0,layer4.0.downsample.0,Conv2d,MM,49,1024,2048,0.3525540098852041,0.0,0.0,"(1, 1024, 14, 14)","(1, 2048, 7, 7)"
0,layer4.1.conv1,Conv2d,MM,49,2048,512,0.4887097417091837,0.0,0.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
0,layer4.1.conv2,Conv2d,MM,49,4608,512,0.4998804209183674,0.0,0.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
0,layer4.1.conv3,Conv2d,MM,49,512,2048,0.5115991709183674,0.0,9.5367431640625e-07,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
0,layer4.2.conv1,Conv2d,MM,49,2048,512,0.37903579400510207,0.0,0.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
0,layer4.2.conv2,Conv2d,MM,49,4608,512,0.5129942602040817,0.0,0.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
0,layer4.2.conv3,Conv2d,MM,49,512,2048,0.49154974489795916,0.0,0.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
0,fc,Linear,MV,1,2048,1000,0.0556640625,0.0,0.0,"(1, 2048)","(1, 1000)"
1,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.0,"(1, 3, 224, 224)","(1, 64, 112, 112)"
1,layer1.0.conv1,Conv2d,MM,3136,64,64,0.002396564094387755,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
1,layer1.0.conv2,Conv2d,MM,3136,576,64,0.5189632493622449,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
1,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5151566485969388,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
1,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.002396564094387755,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
1,layer1.1.conv1,Conv2d,MM,3136,256,64,0.5341136698820153,0.0,0.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
1,layer1.1.conv2,Conv2d,MM,3136,576,64,0.4872947225765306,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
1,layer1.1.conv3,Conv2d,MM,3136,64,256,0.43101283482142855,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
1,layer1.2.conv1,Conv2d,MM,3136,256,64,0.38742127710459184,0.0,0.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
1,layer1.2.conv2,Conv2d,MM,3136,576,64,0.5121073820153061,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
1,layer1.2.conv3,Conv2d,MM,3136,64,256,0.44217354910714285,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
1,layer2.0.conv1,Conv2d,MM,3136,256,128,0.33128637197066324,0.0,0.0,"(1, 256, 56, 56)","(1, 128, 56, 56)"
1,layer2.0.conv2,Conv2d,MM,784,1152,128,0.5354153380102041,0.0,0.0,"(1, 128, 56, 56)","(1, 128, 28, 28)"
1,layer2.0.conv3,Conv2d,MM,784,128,512,0.4387157206632653,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
1,layer2.0.downsample.0,Conv2d,MM,784,256,512,0.33128637197066324,0.0,0.0,"(1, 256, 56, 56)","(1, 512, 28, 28)"
1,layer2.1.conv1,Conv2d,MM,784,512,128,0.5036944953762755,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
1,layer2.1.conv2,Conv2d,MM,784,1152,128,0.4954360650510204,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
1,layer2.1.conv3,Conv2d,MM,784,128,512,0.5126554528061225,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
