input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,nm_compatibility,input_shape,output_shape
0,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.5,1.0,"(1, 3, 224, 224)","(1, 64, 112, 112)"
0,layer1.0.conv1,Conv2d,MM,3136,64,64,0.0025,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.0.conv2,Conv2d,MM,3136,576,64,0.4483,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5032,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.0025,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.1.conv1,Conv2d,MM,3136,256,64,0.4769,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
0,layer1.1.conv2,Conv2d,MM,3136,576,64,0.4921,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.1.conv3,Conv2d,MM,3136,64,256,0.5639,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.2.conv1,Conv2d,MM,3136,256,64,0.3397,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
0,layer1.2.conv2,Conv2d,MM,3136,576,64,0.5099,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.2.conv3,Conv2d,MM,3136,64,256,0.4905,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer2.0.conv1,Conv2d,MM,3136,256,128,0.3013,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 128, 56, 56)"
0,layer2.0.conv2,Conv2d,MM,784,1152,128,0.4863,0.0,0.5,1.0,"(1, 128, 56, 56)","(1, 128, 28, 28)"
0,layer2.0.conv3,Conv2d,MM,784,128,512,0.4779,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
0,layer2.0.downsample.0,Conv2d,MM,784,256,512,0.3013,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 512, 28, 28)"
0,layer2.1.conv1,Conv2d,MM,784,512,128,0.4758,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
0,layer2.1.conv2,Conv2d,MM,784,1152,128,0.5451,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
0,layer2.1.conv3,Conv2d,MM,784,128,512,0.4635,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
0,layer2.2.conv1,Conv2d,MM,784,512,128,0.3327,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
0,layer2.2.conv2,Conv2d,MM,784,1152,128,0.4402,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
0,layer2.2.conv3,Conv2d,MM,784,128,512,0.5629,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
0,layer2.3.conv1,Conv2d,MM,784,512,128,0.3437,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
0,layer2.3.conv2,Conv2d,MM,784,1152,128,0.4863,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
0,layer2.3.conv3,Conv2d,MM,784,128,512,0.5774,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
0,layer3.0.conv1,Conv2d,MM,784,512,256,0.302,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 256, 28, 28)"
0,layer3.0.conv2,Conv2d,MM,196,2304,256,0.4615,0.0,0.5,1.0,"(1, 256, 28, 28)","(1, 256, 14, 14)"
0,layer3.0.conv3,Conv2d,MM,196,256,1024,0.5149,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.0.downsample.0,Conv2d,MM,196,512,1024,0.302,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 1024, 14, 14)"
0,layer3.1.conv1,Conv2d,MM,196,1024,256,0.4913,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.1.conv2,Conv2d,MM,196,2304,256,0.5526,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.1.conv3,Conv2d,MM,196,256,1024,0.5414,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.2.conv1,Conv2d,MM,196,1024,256,0.3676,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.2.conv2,Conv2d,MM,196,2304,256,0.5117,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.2.conv3,Conv2d,MM,196,256,1024,0.5079,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.3.conv1,Conv2d,MM,196,1024,256,0.322,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.3.conv2,Conv2d,MM,196,2304,256,0.5015,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.3.conv3,Conv2d,MM,196,256,1024,0.5482,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.4.conv1,Conv2d,MM,196,1024,256,0.3163,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.4.conv2,Conv2d,MM,196,2304,256,0.4908,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.4.conv3,Conv2d,MM,196,256,1024,0.4765,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer3.5.conv1,Conv2d,MM,196,1024,256,0.3411,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
0,layer3.5.conv2,Conv2d,MM,196,2304,256,0.4811,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
0,layer3.5.conv3,Conv2d,MM,196,256,1024,0.4907,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
0,layer4.0.conv1,Conv2d,MM,196,1024,512,0.3169,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 512, 14, 14)"
0,layer4.0.conv2,Conv2d,MM,49,4608,512,0.5365,0.0,0.5,1.0,"(1, 512, 14, 14)","(1, 512, 7, 7)"
0,layer4.0.conv3,Conv2d,MM,49,512,2048,0.5234,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
0,layer4.0.downsample.0,Conv2d,MM,49,1024,2048,0.3169,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 2048, 7, 7)"
0,layer4.1.conv1,Conv2d,MM,49,2048,512,0.4861,0.0,0.5,1.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
0,layer4.1.conv2,Conv2d,MM,49,4608,512,0.5277,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
0,layer4.1.conv3,Conv2d,MM,49,512,2048,0.5224,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
0,layer4.2.conv1,Conv2d,MM,49,2048,512,0.3582,0.0,0.5,1.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
0,layer4.2.conv2,Conv2d,MM,49,4608,512,0.4741,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
0,layer4.2.conv3,Conv2d,MM,49,512,2048,0.4968,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
0,fc,Linear,MV,1,2048,1000,0.0562,0.0,0.5,1.0,"(1, 2048)","(1, 1000)"
1,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.5,1.0,"(1, 3, 224, 224)","(1, 64, 112, 112)"
1,layer1.0.conv1,Conv2d,MM,3136,64,64,0.0027,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
1,layer1.0.conv2,Conv2d,MM,3136,576,64,0.4493,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
1,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5034,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
1,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.0027,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
1,layer1.1.conv1,Conv2d,MM,3136,256,64,0.4776,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
1,layer1.1.conv2,Conv2d,MM,3136,576,64,0.4922,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
1,layer1.1.conv3,Conv2d,MM,3136,64,256,0.5642,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
1,layer1.2.conv1,Conv2d,MM,3136,256,64,0.3397,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
1,layer1.2.conv2,Conv2d,MM,3136,576,64,0.5097,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
1,layer1.2.conv3,Conv2d,MM,3136,64,256,0.4898,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
1,layer2.0.conv1,Conv2d,MM,3136,256,128,0.302,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 128, 56, 56)"
1,layer2.0.conv2,Conv2d,MM,784,1152,128,0.486,0.0,0.5,1.0,"(1, 128, 56, 56)","(1, 128, 28, 28)"
1,layer2.0.conv3,Conv2d,MM,784,128,512,0.4771,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
1,layer2.0.downsample.0,Conv2d,MM,784,256,512,0.302,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 512, 28, 28)"
1,layer2.1.conv1,Conv2d,MM,784,512,128,0.4761,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
1,layer2.1.conv2,Conv2d,MM,784,1152,128,0.546,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
1,layer2.1.conv3,Conv2d,MM,784,128,512,0.4639,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
1,layer2.2.conv1,Conv2d,MM,784,512,128,0.332,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
1,layer2.2.conv2,Conv2d,MM,784,1152,128,0.44,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
1,layer2.2.conv3,Conv2d,MM,784,128,512,0.5633,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
1,layer2.3.conv1,Conv2d,MM,784,512,128,0.3442,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
1,layer2.3.conv2,Conv2d,MM,784,1152,128,0.4861,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
1,layer2.3.conv3,Conv2d,MM,784,128,512,0.5776,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
1,layer3.0.conv1,Conv2d,MM,784,512,256,0.3019,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 256, 28, 28)"
1,layer3.0.conv2,Conv2d,MM,196,2304,256,0.4625,0.0,0.5,1.0,"(1, 256, 28, 28)","(1, 256, 14, 14)"
1,layer3.0.conv3,Conv2d,MM,196,256,1024,0.5116,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.0.downsample.0,Conv2d,MM,196,512,1024,0.3019,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 1024, 14, 14)"
1,layer3.1.conv1,Conv2d,MM,196,1024,256,0.4918,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.1.conv2,Conv2d,MM,196,2304,256,0.5528,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.1.conv3,Conv2d,MM,196,256,1024,0.5399,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.2.conv1,Conv2d,MM,196,1024,256,0.3677,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.2.conv2,Conv2d,MM,196,2304,256,0.5126,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.2.conv3,Conv2d,MM,196,256,1024,0.5075,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.3.conv1,Conv2d,MM,196,1024,256,0.3219,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.3.conv2,Conv2d,MM,196,2304,256,0.5004,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.3.conv3,Conv2d,MM,196,256,1024,0.5472,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.4.conv1,Conv2d,MM,196,1024,256,0.3167,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.4.conv2,Conv2d,MM,196,2304,256,0.4896,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.4.conv3,Conv2d,MM,196,256,1024,0.4767,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.5.conv1,Conv2d,MM,196,1024,256,0.3416,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.5.conv2,Conv2d,MM,196,2304,256,0.4807,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.5.conv3,Conv2d,MM,196,256,1024,0.4892,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
