input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape,model_name
0,random_layer_0,Linear,MM,256,128,64,0.0616,0.1467,0.4135,"(1, 128)","(1, 64)",variable_random
0,random_layer_1,Linear,MM,2048,64,64,0.2412,0.5913,0.0432,"(1, 64)","(1, 64)",variable_random
0,random_layer_2,Linear,MM,256,32,64,0.5276,0.0622,0.6085,"(1, 32)","(1, 64)",variable_random
0,random_layer_3,Conv2d,MM,64,128,256,0.0145,0.0619,0.5403,"(1, 128)","(1, 256)",variable_random
0,random_layer_4,Linear,MM,2048,32,512,0.1062,0.029,0.4686,"(1, 32)","(1, 512)",variable_random
0,random_layer_5,Linear,MM,32,128,512,0.0775,0.114,0.7307,"(1, 128)","(1, 512)",variable_random
0,random_layer_6,Linear,MM,64,512,256,0.0,0.4201,0.4321,"(1, 512)","(1, 256)",variable_random
0,random_layer_7,Conv2d,MM,32,32,32,0.5945,0.057,0.4556,"(1, 32)","(1, 32)",variable_random
0,random_layer_8,Linear,MM,128,256,32,0.2809,0.1394,0.4662,"(1, 256)","(1, 32)",variable_random
0,random_layer_9,Linear,MM,32,32,128,0.1888,0.311,0.5867,"(1, 32)","(1, 128)",variable_random
0,random_layer_10,Linear,MM,64,128,64,0.3,0.1456,0.4948,"(1, 128)","(1, 64)",variable_random
0,random_layer_11,Conv2d,MM,256,512,128,0.159,0.1382,0.0138,"(1, 512)","(1, 128)",variable_random
0,random_layer_12,Linear,MM,512,64,128,0.3344,0.0663,0.6347,"(1, 64)","(1, 128)",variable_random
0,random_layer_13,Conv2d,MM,32,128,128,0.1129,0.1021,0.6056,"(1, 128)","(1, 128)",variable_random
0,random_layer_14,Conv2d,MM,256,256,64,0.1165,0.6097,0.3095,"(1, 256)","(1, 64)",variable_random
0,random_layer_15,Conv2d,MM,512,32,256,0.6552,0.0447,0.829,"(1, 32)","(1, 256)",variable_random
0,random_layer_16,Conv2d,MM,1024,256,64,0.1614,0.3435,0.3524,"(1, 256)","(1, 64)",variable_random
0,random_layer_17,Linear,MM,64,1024,32,0.6244,0.0536,0.6742,"(1, 1024)","(1, 32)",variable_random
0,random_layer_18,Linear,MM,1024,1024,256,0.0,0.6672,0.3483,"(1, 1024)","(1, 256)",variable_random
0,random_layer_19,Conv2d,MM,32,32,256,0.7117,0.0088,0.091,"(1, 32)","(1, 256)",variable_random
1,random_layer_0,Conv2d,MM,256,64,64,0.0,0.5693,0.6267,"(1, 64)","(1, 64)",variable_random
1,random_layer_1,Linear,MM,2048,256,512,0.6595,0.4565,0.7389,"(1, 256)","(1, 512)",variable_random
1,random_layer_2,Linear,MM,128,64,32,0.3578,0.0936,0.4667,"(1, 64)","(1, 32)",variable_random
1,random_layer_3,Linear,MM,1024,32,512,0.2338,0.5746,0.3747,"(1, 32)","(1, 512)",variable_random
1,random_layer_4,Linear,MM,64,512,512,0.8137,0.0342,0.026,"(1, 512)","(1, 512)",variable_random
1,random_layer_5,Linear,MM,1024,256,256,0.0,0.1255,0.666,"(1, 256)","(1, 256)",variable_random
1,random_layer_6,Linear,MM,2048,32,32,0.4578,0.0796,0.5404,"(1, 32)","(1, 32)",variable_random
1,random_layer_7,Linear,MM,64,64,32,0.2523,0.3278,0.4175,"(1, 64)","(1, 32)",variable_random
1,random_layer_8,Conv2d,MM,1024,128,512,0.5047,0.0792,0.4017,"(1, 128)","(1, 512)",variable_random
1,random_layer_9,Linear,MM,256,256,512,0.0,0.1159,0.134,"(1, 256)","(1, 512)",variable_random
1,random_layer_10,Conv2d,MM,256,128,32,0.343,0.4651,0.3362,"(1, 128)","(1, 32)",variable_random
1,random_layer_11,Linear,MM,256,64,512,0.3868,0.0776,0.0269,"(1, 64)","(1, 512)",variable_random
1,random_layer_12,Conv2d,MM,32,512,512,0.0,0.1483,0.4571,"(1, 512)","(1, 512)",variable_random
1,random_layer_13,Linear,MM,64,1024,128,0.123,0.6115,0.3229,"(1, 1024)","(1, 128)",variable_random
1,random_layer_14,Conv2d,MM,64,32,256,0.7421,0.0814,0.1735,"(1, 32)","(1, 256)",variable_random
1,random_layer_15,Linear,MM,64,32,256,0.0304,0.138,0.1127,"(1, 32)","(1, 256)",variable_random
1,random_layer_16,Conv2d,MM,32,128,512,0.0,0.5996,0.0207,"(1, 128)","(1, 512)",variable_random
1,random_layer_17,Linear,MM,1024,32,128,0.5931,0.3616,0.4149,"(1, 32)","(1, 128)",variable_random
1,random_layer_18,Linear,MM,32,64,256,0.1994,0.0753,0.596,"(1, 64)","(1, 256)",variable_random
1,random_layer_19,Conv2d,MM,128,512,512,0.0047,0.0745,0.7848,"(1, 512)","(1, 512)",variable_random
2,random_layer_0,Conv2d,MM,1024,512,128,0.0,0.1431,0.4549,"(1, 512)","(1, 128)",variable_random
2,random_layer_1,Conv2d,MM,2048,128,256,0.3592,0.009,0.7579,"(1, 128)","(1, 256)",variable_random
2,random_layer_2,Linear,MM,32,128,32,0.0,0.0326,0.4811,"(1, 128)","(1, 32)",variable_random
2,random_layer_3,Linear,MM,1024,1024,128,0.1197,0.1,0.1533,"(1, 1024)","(1, 128)",variable_random
2,random_layer_4,Linear,MM,32,64,512,0.0,0.6514,0.4175,"(1, 64)","(1, 512)",variable_random
2,random_layer_5,Conv2d,MM,2048,512,64,0.6249,0.0993,0.1126,"(1, 512)","(1, 64)",variable_random
2,random_layer_6,Linear,MM,64,512,32,0.0998,0.0692,0.1912,"(1, 512)","(1, 32)",variable_random
2,random_layer_7,Conv2d,MM,256,32,512,0.3143,0.0905,0.0484,"(1, 32)","(1, 512)",variable_random
2,random_layer_8,Linear,MM,512,256,32,0.0067,0.0501,0.7673,"(1, 256)","(1, 32)",variable_random
2,random_layer_9,Conv2d,MM,32,64,128,0.0847,0.0264,0.5499,"(1, 64)","(1, 128)",variable_random
2,random_layer_10,Linear,MM,2048,32,128,0.1887,0.3824,0.9157,"(1, 32)","(1, 128)",variable_random
2,random_layer_11,Conv2d,MM,64,256,256,0.2537,0.1419,0.7793,"(1, 256)","(1, 256)",variable_random
2,random_layer_12,Linear,MM,32,32,256,0.0,0.46,0.364,"(1, 32)","(1, 256)",variable_random
2,random_layer_13,Conv2d,MM,256,64,32,0.4075,0.5823,0.2365,"(1, 64)","(1, 32)",variable_random
2,random_layer_14,Linear,MM,32,128,128,0.9538,0.0435,0.5874,"(1, 128)","(1, 128)",variable_random
2,random_layer_15,Linear,MM,2048,128,512,0.0,0.4092,0.4599,"(1, 128)","(1, 512)",variable_random
2,random_layer_16,Linear,MM,2048,32,128,0.3153,0.3738,0.6991,"(1, 32)","(1, 128)",variable_random
2,random_layer_17,Linear,MM,2048,64,64,0.4149,0.0616,0.623,"(1, 64)","(1, 64)",variable_random
2,random_layer_18,Linear,MM,32,512,32,0.1932,0.0499,0.2559,"(1, 512)","(1, 32)",variable_random
2,random_layer_19,Conv2d,MM,1024,512,512,0.0,0.4245,0.8092,"(1, 512)","(1, 512)",variable_random
3,random_layer_0,Conv2d,MM,32,128,512,0.0,0.4208,0.0923,"(1, 128)","(1, 512)",variable_random
3,random_layer_1,Conv2d,MM,2048,32,32,0.3701,0.0483,0.8524,"(1, 32)","(1, 32)",variable_random
3,random_layer_2,Linear,MM,128,128,256,0.1755,0.6618,0.6659,"(1, 128)","(1, 256)",variable_random
3,random_layer_3,Linear,MM,256,1024,32,0.6232,0.1257,0.2815,"(1, 1024)","(1, 32)",variable_random
3,random_layer_4,Conv2d,MM,2048,1024,256,0.3329,0.4656,0.4527,"(1, 1024)","(1, 256)",variable_random
3,random_layer_5,Conv2d,MM,32,64,512,0.2682,0.3573,0.4221,"(1, 64)","(1, 512)",variable_random
3,random_layer_6,Linear,MM,512,64,128,0.4022,0.0709,0.4002,"(1, 64)","(1, 128)",variable_random
3,random_layer_7,Conv2d,MM,2048,256,128,0.0,0.3086,0.8603,"(1, 256)","(1, 128)",variable_random
3,random_layer_8,Linear,MM,32,128,128,0.3957,0.5584,0.8982,"(1, 128)","(1, 128)",variable_random
3,random_layer_9,Conv2d,MM,256,256,64,0.5732,0.5681,0.1155,"(1, 256)","(1, 64)",variable_random
