model,n_layers,static_cost,static_config,greedy_cost,dp_cost,oracle_cost,static_gap,greedy_gap,dp_gap,adaptive_speedup,greedy_switches,dp_switches,oracle_switches
bert_dense,73,3244513,D-MR,3244613.0,3244613.0,3244613.0,-0.003082031662944086,0.0,0.0,0.9999691796833705,0,0,0
bert_pruned50,73,2961095,D-M-R,2961345.0,2961345.0,2961345.0,-0.008442109919647998,0.0,0.0,0.9999155789008035,0,0,0
bert_pruned70,73,2887513,D-M-R,2887763.0,2887763.0,2887763.0,-0.008657220138910291,0.0,0.0,0.9999134277986109,0,0,0
bert_pruned90,73,2763961,D-M-R,2764211.0,2764211.0,2764211.0,-0.009044172098294957,0.0,0.0,0.9999095582790171,0,0,0
dp_stress,40,1374334,D-M-R,408402.0,408402.0,408402.0,236.5150023751108,0.0,0.0,3.365150023751108,12,12,12
gcn_synthetic,8,2001321,D-MR,870231.0,870231.0,870231.0,129.97583400269582,0.0,0.0,2.2997583400269583,3,3,3
mixed_pipeline,8,5459828,D-M-R,918092.0,918092.0,918092.0,494.692906593239,0.0,0.0,5.94692906593239,5,5,5
resnet50_dense,54,2919820,D-MR,2918760.0,2918664.0,2918664.0,0.039607162729248725,0.0032891761436054305,0.0,1.0003960716272924,8,6,6
resnet50_pruned50,54,5630615,D-M-R,3056377.0,3056377.0,3056377.0,84.22514630884868,0.0,0.0,1.8422514630884868,32,32,32
resnet50_pruned70,54,4099816,D-M-R,2885717.0,2885618.0,2885618.0,42.077572291273476,0.0034308075427863286,0.0,1.420775722912735,25,24,24
resnet50_pruned90,54,2043906,D-M-R,1894335.0,1894236.0,1894236.0,7.901338587166541,0.005226381506844976,0.0,1.0790133858716655,5,4,4
variable_random,20,295878,D-M-R,267880.0,267880.0,267880.0,10.451694788711363,0.0,0.0,1.1045169478871137,2,2,2
